Date,Open,High,Low,Close
2022-09-30,1335.646484375,1368.743408203125,1320.3831787109375,1327.9786376953125
2022-10-01,1328.1937255859375,1332.5164794921875,1306.1025390625,1311.6444091796875
2022-10-02,1311.75341796875,1316.330078125,1275.3360595703125,1276.093505859375
2022-10-03,1276.1634521484375,1326.554443359375,1271.15087890625,1323.439208984375
2022-10-04,1323.2783203125,1364.970947265625,1320.07666015625,1362.1265869140625
2022-10-05,1361.972900390625,1362.4517822265625,1320.8551025390625,1352.837158203125
2022-10-06,1352.806640625,1380.4049072265625,1349.449951171875,1351.70947265625
2022-10-07,1351.83642578125,1359.328125,1321.74609375,1332.5169677734375
2022-10-08,1332.371337890625,1335.954833984375,1307.072998046875,1315.50048828125
2022-10-09,1315.460205078125,1327.6688232421875,1309.3446044921875,1322.604248046875
2022-10-10,1322.61865234375,1335.6627197265625,1291.337646484375,1291.337646484375
2022-10-11,1291.109619140625,1296.27392578125,1272.7376708984375,1279.57568359375
2022-10-12,1279.7322998046875,1303.0751953125,1277.5274658203125,1294.9063720703125
2022-10-13,1294.9173583984375,1297.564208984375,1209.2781982421875,1288.1239013671875
2022-10-14,1288.0487060546875,1339.7447509765625,1285.3782958984375,1297.422119140625
2022-10-15,1297.305908203125,1300.7459716796875,1268.468505859375,1274.8717041015625
2022-10-16,1275.0054931640625,1312.634521484375,1275.0054931640625,1306.296630859375
2022-10-17,1306.3095703125,1335.6478271484375,1297.447265625,1331.713623046875
2022-10-18,1331.669921875,1339.0859375,1291.66064453125,1310.447021484375
2022-10-19,1310.5631103515625,1312.4423828125,1283.96533203125,1285.7442626953125
2022-10-20,1285.6602783203125,1307.8551025390625,1275.323974609375,1283.200927734375
2022-10-21,1283.1881103515625,1305.081298828125,1260.666748046875,1299.9464111328125
2022-10-22,1299.90234375,1317.10107421875,1295.9468994140625,1314.2991943359375
2022-10-23,1314.24951171875,1367.7607421875,1302.9088134765625,1363.447021484375
2022-10-24,1363.4918212890625,1368.425537109375,1327.85400390625,1344.99853515625
2022-10-25,1344.7113037109375,1509.9854736328125,1336.9788818359375,1461.6654052734375
2022-10-26,1461.1331787109375,1584.63671875,1460.4287109375,1566.566650390625
2022-10-27,1566.8414306640625,1574.4034423828125,1510.8167724609375,1514.3748779296875
2022-10-28,1514.3231201171875,1568.6339111328125,1493.87109375,1555.4779052734375
2022-10-29,1555.274658203125,1652.3822021484375,1549.983642578125,1619.698486328125
2022-10-30,1619.6978759765625,1637.037841796875,1579.4852294921875,1590.7833251953125
2022-10-31,1590.4813232421875,1630.452880859375,1555.9189453125,1572.7144775390625
2022-11-01,1572.6453857421875,1606.605712890625,1568.0985107421875,1579.70458984375
2022-11-02,1579.4979248046875,1613.41064453125,1507.2447509765625,1519.7117919921875
2022-11-03,1519.724853515625,1556.7596435546875,1517.1016845703125,1531.541748046875
2022-11-04,1531.3975830078125,1661.334716796875,1529.2684326171875,1645.0933837890625
2022-11-05,1645.156494140625,1660.4864501953125,1625.9642333984375,1627.968017578125
2022-11-06,1627.901123046875,1634.1324462890625,1572.2347412109375,1572.2347412109375
2022-11-07,1572.0169677734375,1604.475341796875,1550.41552734375,1568.59130859375
2022-11-08,1568.32958984375,1574.7998046875,1259.443115234375,1332.8355712890625
2022-11-09,1333.1224365234375,1335.7435302734375,1083.28564453125,1100.1697998046875
2022-11-10,1100.107177734375,1341.7911376953125,1093.12255859375,1299.464599609375
2022-11-11,1298.8824462890625,1302.2952880859375,1211.32958984375,1287.2210693359375
2022-11-12,1287.4383544921875,1288.15087890625,1242.1522216796875,1255.268310546875
2022-11-13,1255.4412841796875,1271.7125244140625,1208.52099609375,1221.8192138671875
2022-11-14,1221.8955078125,1284.2176513671875,1178.4290771484375,1241.604248046875
2022-11-15,1241.677734375,1283.19873046875,1238.688232421875,1251.7362060546875
2022-11-16,1251.808837890625,1264.486328125,1192.98779296875,1215.6025390625
2022-11-17,1215.8486328125,1224.9656982421875,1189.1527099609375,1200.80859375
2022-11-18,1200.8021240234375,1226.7374267578125,1200.8021240234375,1212.30029296875
2022-11-19,1212.2154541015625,1227.8372802734375,1200.4755859375,1218.4267578125
2022-11-20,1218.436279296875,1224.0777587890625,1137.9332275390625,1142.4666748046875
2022-11-21,1142.395751953125,1142.395751953125,1084.8572998046875,1108.35302734375
2022-11-22,1107.89599609375,1136.442626953125,1081.13818359375,1135.1734619140625
2022-11-23,1135.4215087890625,1184.997314453125,1130.0228271484375,1183.1995849609375
2022-11-24,1183.3450927734375,1211.62744140625,1180.3797607421875,1203.983154296875
2022-11-25,1203.7994384765625,1203.7994384765625,1174.8233642578125,1198.9259033203125
2022-11-26,1198.79052734375,1227.0380859375,1198.097900390625,1205.89794921875
2022-11-27,1205.9052734375,1220.3494873046875,1195.0390625,1195.126953125
2022-11-28,1194.9603271484375,1198.7376708984375,1156.0625,1170.086181640625
2022-11-29,1169.8743896484375,1222.1641845703125,1163.4775390625,1216.9012451171875
2022-11-30,1216.9287109375,1302.0386962890625,1215.4979248046875,1295.6885986328125
2022-12-01,1295.76953125,1295.9998779296875,1267.70849609375,1276.27392578125
2022-12-02,1276.32861328125,1294.3033447265625,1269.2431640625,1294.3033447265625
2022-12-03,1294.45654296875,1299.84033203125,1241.431884765625,1243.3348388671875
2022-12-04,1243.21923828125,1281.4923095703125,1242.9117431640625,1280.256591796875
2022-12-05,1279.9989013671875,1302.237548828125,1252.472412109375,1259.6767578125
2022-12-06,1259.854248046875,1271.9232177734375,1247.6298828125,1271.65380859375
2022-12-07,1271.5531005859375,1272.694091796875,1224.447998046875,1232.4375
2022-12-08,1232.4517822265625,1286.229736328125,1226.3585205078125,1281.1163330078125
2022-12-09,1281.0772705078125,1290.055419921875,1260.8187255859375,1264.2847900390625
2022-12-10,1264.37548828125,1279.5279541015625,1262.119873046875,1266.3841552734375
2022-12-11,1266.4178466796875,1281.783203125,1260.6636962890625,1263.8685302734375
2022-12-12,1263.573486328125,1275.6103515625,1243.477783203125,1274.6190185546875
2022-12-13,1274.6624755859375,1341.4393310546875,1258.472412109375,1320.5491943359375
